lh,rh,ls,rs,w,ll,rl
49.8,73.3,2341.08,589.96,128,127.4,174.6666667
49.9,77.3,2409.84,791.84,128,129.4,174.6666667
48.5,114.9,2425.08,333.2,129,127.2,180.3333333
49.7,139.5,2498.4,70,130,129,184
49.3,156.5,2499.96,1315.16,130,128.4,186
48.8,149.5,2472.96,589.96,130,127.4,187
49.2,138.5,2465.4,70,132,127.2,188.6666667
49.4,124.4,2476.2,493.92,134,126.8,189.3333333
50.5,110.8,2509.2,1801.24,134,127.4,187.6666667
51.9,98,2506.44,1905.12,133,126.8,185.3333333
54.4,87.5,2491.68,1730.68,138,125.8,184.3333333
58.3,81,2491.2,2095.24,140,125.6,182
61.5,76.7,2461.8,1646.4,142,125,182
62.9,74.2,2478.72,1934.52,143,125.6,183
62.9,72.9,2505.6,2371.6,143,127.2,182.6666667
62.3,72.3,2506.44,2383.36,144,127.8,180.6666667
60.2,70.8,2464.56,1709.12,142,125.4,182
60.6,70.7,2489.88,2116.8,142,125.2,180
59.2,69.7,2443.2,1364.16,138,123,182
58.4,70,2482.44,1993.32,138,123.4,183.3333333
57.4,69.5,2509.08,2416.68,138,123.6,183.6666667
56.7,69,2509.08,2438.24,138,122.8,183.3333333
62.5,68.2,2493,2185.4,137,122.2,183.3333333
63.7,67.4,2486.76,1875.72,137,121.4,181
60.2,66.5,2459.28,1489.6,135,120.2,180
57.3,66,2460.72,1530.76,133,120,178.3333333
54.7,64.7,2427,858.48,131,118.8,182
54.5,65.9,2509.68,2230.48,135,121.6,180.3333333
53.3,65.3,2489.16,2101.12,133,121.2,179.3333333
52.6,64.9,2475.48,1634.64,132,120.4,178.6666667
53.1,64.2,2443.92,1181.88,130,119,181.6666667
55,65.4,2484.24,1830.64,130,120.2,183.6666667
58.3,66.3,2490.6,2054.08,128,120.6,184
62.6,66.7,2440.56,2007.04,128,120.4,181
61,64.9,1932.96,1291.64,127,118.8,181
62.5,65.3,1620.12,1711.08,129,119.6,179
