lh,rh,ls,rs,w,ll,rl
487.1,432.3,2178.88,2344.08,1253,142.4,112.4
476.4,379.7,2122.72,2313.68,1250,139.2,109
487.2,358.8,2125.92,2316.72,1277,139.4,108.9
481.6,355.1,2156.4,2347.92,1292,142,110.7
451.8,346.3,2172.48,2354.48,1265,141.6,110
412.4,336.8,2139.2,2332.16,1220,139.6,107.9
385.7,336.8,2130.32,2354.8,1181,142,111.2
364,335.7,2163.04,2362.64,1142,145.4,122
344.1,333.5,2184.56,2363.28,1082,146.2,120.7
324.7,328.8,2122.88,2339.44,1079,145.2,127
300.6,325.9,2114.48,2358.8,1091,145.6,133
273.2,321.2,2078.08,2322.24,1058,145,131.9
252.4,320.1,2176.88,2350.4,1025,147.4,136.2
234.8,315.7,2227.2,2405.6,1004,147.8,131.7
219.9,309.9,2261.28,2383.28,914,147.6,129
210.9,305.8,2277.92,2412.24,821,147.8,129.8
201.6,296.8,2269.44,2396.4,710,146,128.9
193,286.5,2312.08,2395.6,641,145,126.7
189.5,280.1,2326.96,2428.48,569,145,124.9
184.8,275.2,2363.28,2448.48,518,145.4,124.1
172.9,262.8,2285.2,2393.52,443,141.4,121.8
171.3,261.4,2395.68,2450.48,410,143.8,123.1
164.8,248.7,2403.6,2431.28,359,142.2,122.8
158.3,239.6,2386.08,2423.12,311,141.4,122.1
154,235,2448.4,2450.48,281,142.6,122.8
146.2,224.1,2459.28,2464.56,248,143.2,123.9
135.2,209.9,2408.96,2411.2,212,140.6,124.3
134.7,207.8,2450.4,2454.96,206,143.6,126.8
128.9,198.7,2437.76,2440.32,185,142.4,125
126.6,192.1,2430.8,2435.68,167,145,126.4
124.7,188.5,2459.68,2464.24,158,150.4,127.9
120,183.3,2466.16,2469.92,146,152.4,126.9
111.1,176.1,2417.68,2419.92,131,147.4,120.5
107.3,175.2,2463.6,2464.4,143,148.6,122.5
100,170.7,2448.08,2448.8,134,147.2,124.7
93.8,167.9,2439.76,2440.48,122,146.2,124.9
90.8,169.8,2466.72,2447.04,134,147.6,121.2
86.1,167.5,2471.36,2451.12,143,149.2,118.2
83.2,163.1,2452.88,2447.84,146,149.8,115.7
85.9,160.9,2460.88,2461.6,149,150.2,117.5
86.2,158.1,2460.32,2461.2,140,148.4,117.7
84.1,153.2,2440.8,2441.52,113,146.2,113.6
84.7,152.7,2468.08,2468.8,107,147,112.9
86,151.6,2470.56,2471.2,104,146.6,111.9
83.3,148.2,2425.04,2425.84,86,143.2,108.3
83.3,150.7,2463.12,2463.84,92,145,108.8
81,150.4,2438.16,2438.8,86,143,106.8
78.5,149.4,2428.88,2429.6,86,141.8,105.5
78,150.6,2468,2468.64,122,143.8,106.2
76.4,147.3,2430.24,2431.12,134,141.4,104.4
78.7,148.2,2459.68,2460.4,161,142.8,105.6
82,149.9,2445.04,2445.68,170,141.8,107
87,156,2438.24,2438.96,170,141.6,112.3
96.2,165.5,2443.68,2438.24,182,142.8,119.5
102.7,174.8,2470.56,2471.2,194,145.8,127.2
103,173.6,2426.88,2427.6,191,144.6,131.3
105.7,175,2464.72,2465.44,218,147.8,137.5
107.2,174.7,2461.6,2462.32,248,147.4,140.9
107.7,176.8,2454.4,2455.2,308,147.2,144.5
112.9,182.6,2426.4,2429.52,407,148,153.8
146.6,198.8,2464.08,2471.76,554,155.6,169.1
185.4,221.3,2461.12,2468.96,611,163.6,176.9
203.7,227.8,2425.76,2433.92,632,164.4,181.2
243.4,240.6,2452.48,2460.24,662,167.6,182.2
268.6,233,2443.28,2451.52,638,164.8,179.6
267.9,216.2,2425.6,2432.24,647,159.2,175.7
284.6,211.6,2463.28,2470.64,734,161.4,185.5
261,211,2461.36,2467.12,767,161,175.2
230.1,217.3,2462,2465.92,818,158.8,160.6
207.5,223.2,2411.84,2445.36,854,156.2,158.1
186.5,235.8,2421.68,2441.44,902,154.6,173.5
220.3,277.2,2371.92,2436.08,947,152.8,172.2
301.4,311.8,2298.56,2417.68,974,150.4,166.4
359.6,340,2311.2,2452.96,1034,152.2,169.1
392.6,339.1,2317.12,2427.44,1010,149.8,159.7
410.8,331.5,2292.8,2432,1016,150.2,164.8
424.3,322.1,2279.76,2422.64,1037,150.2,159.8
432.9,330,2261.28,2411.44,1091,151,152.9
441.9,351,2310.48,2434.64,1133,152,146.5
429.4,363.5,2293.12,2396.72,1124,151,143.4
416.8,365.2,2305.2,2396.08,1112,149.4,140.3
402.3,366.3,2270,2409.6,1109,149.2,139.4
371.9,348.4,2265.76,2386.24,1088,148.4,138.1
347.1,338.6,2279.52,2401.84,1067,148.6,136
330.4,334.4,2281.04,2419.92,1025,148.8,133.7
313.9,320.3,2277.92,2417.44,977,148,132
293.5,307.2,2262.32,2412,965,148.2,130.4
275.3,295.5,2274.48,2387.2,986,146.2,130.4
263.6,288.2,2256.08,2377.36,995,145.4,127.4
249.5,278.7,2298.72,2390,968,145.6,125.9
243.5,272.8,2314.8,2406.4,899,146.2,125.6
229.2,262,2262.08,2354,794,142.2,123.4
218.8,258.3,2299.44,2391.76,740,144.2,124.8
210,251.7,2282.88,2378.16,671,144.2,127
202.5,249.1,2359.04,2400.96,599,144.2,125.6
196.6,246.9,2399.28,2427.36,548,145.2,126.6
188.2,247.6,2405.6,2437.44,491,145.2,126.6
178.9,245.7,2414.96,2444,440,144.6,126.3
169.2,246.7,2457.68,2445.04,392,144.6,128.8
159.8,241.9,2448.8,2434.96,344,144,130.6
156.7,224.1,2427.2,2415.36,299,143.2,138.4
152,207.5,2454.32,2446.8,278,146,147.2
137,186.2,2395.92,2395.36,236,144.2,141.7
129.7,181.7,2445.04,2438.56,224,149,140.5
123.6,177.5,2431.28,2424.4,209,147.6,133.9
117.6,173.6,2445.76,2440.96,200,146.8,128.9
113,170.4,2429.12,2425.44,185,144.6,126.1
111.4,171.6,2464.08,2462.8,197,145.8,125.8
104,176.4,2470.32,2468,233,146,124.2
95.7,167.4,2469.6,2465.76,260,145,123.1
88.4,159.4,2464.24,2464.4,281,143.8,120.5
82.8,153.9,2444.4,2444.8,302,143.2,117.8
80.1,151.8,2439.04,2439.2,290,144.6,117.9
80.3,151.7,2466.08,2466.4,296,146.6,120.1
80.6,151.2,2469.68,2469.76,290,147.2,121.8
79,151.3,2458.16,2458.32,257,145.8,124.4
75.9,149.3,2447.04,2447.2,242,144.4,123
72.7,147.3,2442.4,2442.64,239,143.8,124.2
70.5,145.8,2439.52,2439.76,245,143,121.3
69.6,146.4,2468.32,2468.48,254,144.2,123.2
67.6,142.7,2404.64,2404.64,236,140,119.4
69.1,145,2461.2,2461.44,257,143.4,124.4
70.2,143.8,2461.2,2461.36,269,143.8,123.5
72.9,142.1,2446.24,2446.56,260,143,121.2
75.5,140.7,2433.12,2433.28,272,142.4,119.9
77,140,2433.2,2433.52,287,143.2,118
79.7,138.4,2404.8,2404.88,287,142.2,114.9
84.2,143.6,2459.92,2459.92,308,145.4,118.2
83.4,146.5,2447.12,2447.04,320,144.6,118.5
80,147.3,2443.12,2443.12,326,144.2,119.1
78.3,145.8,2442.32,2442.32,356,143.4,118.5
82.5,149,2470.96,2471.04,389,144.6,117
94.7,145.2,2404.4,2404.56,398,140.4,114
117.5,147.2,2423.44,2427.04,428,141.4,115.2
129.2,147.9,2457.36,2460.96,431,143.8,115
131.9,146,2450.48,2453.92,452,144.8,114.6
151.6,143.9,2439.36,2440.72,503,149.4,121.4
147.2,144.5,2468.48,2459.2,560,152.4,119.8
134,141.3,2423.2,2420.32,572,148,113.9
133.6,146.9,2449.68,2440.32,566,148,113.2
133.3,172,2450,2437.68,587,147,116.1
153.5,212.2,2445.12,2430.64,557,146.2,119
157.7,228,2440.24,2421.68,593,147.4,114.3
202.8,264.8,2464.56,2436.08,626,152.8,123.6
252,297.4,2462.48,2434.72,683,152,124.8
285.5,309,2450.56,2414.32,689,149.2,118.7
320.1,317.1,2451.84,2408.64,680,150.2,122.3
362.4,342.6,2439.36,2396.72,719,150,131.3
425.7,381.8,2396.72,2341.52,740,150,138.6
483.8,425.3,2401.52,2381.6,779,151.6,141.7
478.1,418.3,2366.64,2379.44,812,149.6,137
464.6,422.4,2354,2374.8,824,148.2,134
430.3,427.2,2304.16,2338.4,848,146.8,130.4
400.6,427.2,2283.2,2344.32,875,145,124.6
377.3,440.4,2350.8,2357.2,941,145,118
367,461.2,2300.8,2378.56,1001,146.4,116.2
423.3,507.1,2320.88,2385.36,1058,146.2,115.3
481.8,523.3,2282.64,2361.36,1085,145.6,112.4
467,484.8,2309.76,2342.72,1073,145.6,113.7
449.3,410.7,2300.72,2312.48,1058,145,114.8
463.8,374.9,2272.4,2343.44,1106,145.6,112.4
489.9,342.1,2225.36,2329.52,1082,141.4,109
536.1,322.2,2211.2,2320.88,1079,140.6,106.3
558.1,324.8,2222,2370.16,1115,143,106.6
533,336.2,2240.72,2365.52,1112,142,105.7
484.6,359.6,2216.08,2358.16,1040,140.6,104.6
442.5,363.5,2231.2,2372.16,977,141.2,109.3
413.7,342.6,2232.24,2379.44,944,143,114.1
370.5,317.7,2185.92,2295.84,920,140.4,119.7
353.1,316.2,2233.68,2329.2,1028,143.2,124.9
332.5,309.5,2267.68,2357.76,1046,144.4,126.6
309.5,313.4,2292.56,2340.96,1103,142.6,129.1
288.3,328.8,2301.36,2378.64,1034,143.4,129.3
263.7,324.2,2328,2377.04,959,144,125.4
245.9,315.1,2331.68,2380.32,812,144.8,120.5
234.2,309.9,2366,2419.12,716,146.2,121.4
220.7,302,2301.84,2411.92,629,145.4,121.9
205.6,293.9,2330.8,2391.52,527,143.6,121.4
189.9,288.9,2300.48,2404.64,470,142.6,121.3
171.8,284.3,2385.6,2420.64,413,142,122.2
157.2,273.3,2458.96,2447.2,368,143,124.2
147.1,257.6,2458.08,2446.8,329,143.2,126
138,244.5,2431.6,2423.2,284,141.4,125.6
132.4,234.6,2428.48,2418,251,141.4,124.1
129.4,225.8,2456.8,2446,233,143,128.7
127,216,2465.84,2461.6,215,143.4,126
122.4,208.6,2468.32,2451.28,191,142.8,124.5
115.5,199.1,2445.76,2434.32,173,140.8,122.1
108.5,190.1,2444.88,2436.32,164,140.6,120.8
