lh,rh,ls,rs,w,ll,rl
214.081,295.239,2457.68,2407.52,111,124.4,180
200.515,272.153,2442.16,2400.56,110,124.6,180.6666667
195.874,254.779,2452.56,2407.2,110,123.8,179.3333333
196.231,239.428,2444.4,2396.96,110,123.4,178.6666667
186.473,230.741,2441.52,2395.76,110,121.2,175.6666667
174.216,217.413,2405.92,2361.2,108,124.4,180.6666667
171.836,214.676,2470.32,2429.36,111,124.2,180.6666667
161.364,209.202,2470,2426.64,111,122.8,179
154.7,203.847,2448.08,2398.96,109,122.8,178.6666667
155.771,202.895,2447.84,2403.04,109,123.2,179.3333333
170.765,216.104,2460.24,2412.48,110,123.6,180.3333333
200.039,254.184,2473.68,2417.76,110,123.2,179.3333333
285.362,326.06,2464.88,2407.68,110,123,179
476,497.777,2464.16,2407.36,110,122.2,178
762.433,715.071,2451.68,2394.56,109,121.4,177
1226.533,861.084,2439.52,2382.56,108,121.6,177
1676.71,1079.092,2441.12,2386.32,108,120.6,175.3333333
2073.218,1516.06,2421.52,2365.2,108,122.8,178.6666667
2402.134,2066.554,2471.76,2415.04,110,122.4,178
2864.092,2714.747,2465.52,2408.4,111,121.6,177
3348.898,3129.938,2453.52,2398.72,110,120.6,176
3392.571,3364.606,2440.64,2384.08,109,121.8,177.3333333
3643.542,3598.084,2465.04,2411.12,110,118.8,173
3583.566,3583.804,2407.76,2354.08,107,121.6,177
3665.914,3666.866,2463.12,2408.32,110,122,177.3333333
3672.34,3673.53,2467.36,2411.12,111,121,176.3333333
3652.824,3654.014,2454.24,2398.96,110,120.2,175.3333333
3634.855,3635.926,2442.16,2387.84,108,120.8,176.6666667
3659.012,3660.202,2458.4,2404.48,109,121.4,177.3333333
3678.29,3679.48,2471.36,2416.88,110,120.8,176.6666667
3664.367,3665.795,2462,2409.28,109,121,176.6666667
3669.484,3671.15,2465.44,2408.88,109,120.4,175.6666667
3651.872,3653.538,2453.6,2397.28,108,119.6,175
3634.617,3636.164,2442,2385.76,108,120.8,177
3674.839,3676.267,2468.96,2412,109,120.8,177.3333333
3677.814,3679.242,2470.96,2412.56,109,120.8,177.3333333
3677.457,3678.885,2470.8,2412.24,109,120.4,177
3672.459,3673.292,2467.36,2409.04,109,119.8,175.6666667
3647.945,3649.016,2450.96,2394.64,107,118.8,174.3333333
3621.289,3622.241,2433.04,2373.92,106,120.6,177
3678.052,3678.647,2471.28,2413.36,108,120.6,176.6666667
3678.885,3680.194,2471.84,2413.6,108,120.4,176.6666667
3675.196,3677.338,2471.52,2415.2,108,120,176.6666667
3541.083,3502.527,2465.04,2408.8,108,118.8,174.6666667
3635.688,3009.748,2443.44,2388.8,107,119,174.6666667
3045.686,2547.433,2445.92,2390.48,107,120,176.3333333
2222.563,1928.038,2472.8,2416.56,109,120.2,176.3333333
2367.862,1136.331,2471.76,2415.12,109,120,175.3333333
2201.976,735.539,2462,2406,109,120.6,175.3333333
997.934,511.581,2460.72,2406.08,109,119.6,173.6666667
434.826,383.775,2442.72,2389.52,108,120.6,175.6666667
240.499,332.248,2469.68,2414.96,109,120.6,175.6666667
201.348,301.903,2473.52,2421.92,109,120.6,175.6666667
189.924,290.241,2472.96,2429.2,109,120.4,175
174.216,271.439,2460.32,2417.36,110,120.8,175.3333333
169.575,263.585,2465.6,2423.04,111,119.8,174.3333333
160.65,252.637,2447.2,2405.36,111,119.4,174
154.343,244.307,2448.96,2408.88,111,120.4,175.6666667
148.988,240.975,2473.52,2434.16,113,117,171
141.372,230.027,2409.36,2370.16,111,119.8,175
149.226,232.645,2468.56,2428.4,114,119.6,174
170.17,239.547,2458.88,2416.56,113,119.2,173.6666667
246.925,270.844,2454.32,2412.72,113,119,173.6666667
444.584,368.9,2450.56,2406.4,113,120,176
788.851,619.99,2472.32,2429.04,113,120,175.6666667
1600.55,850.374,2471.44,2425.52,113,119.2,175
1963.143,1055.173,2461.52,2410.72,112,119,174.6666667
2706.774,1593.767,2461.36,2409.76,111,117.8,173
3151.001,2260.167,2440.72,2388.32,110,118,173.3333333
3423.273,3030.573,2451.28,2399.44,110,118.8,174.6666667
3587.017,3441.48,2471.36,2418.56,111,118.2,173.3333333
3659.607,3598.084,2459.84,2407.84,110,118.4,174
3675.196,3675.553,2469.44,2417.6,110,118,173.3333333
3667.699,3668.651,2464.32,2414.08,110,117.6,172
3641.638,3642.709,2446.88,2397.6,109,118,172.3333333
3652.229,3653.3,2453.92,2403.6,110,118.6,173.3333333
3678.885,3680.313,2471.84,2421.04,110,117.6,172.3333333
3652.348,3653.895,2454,2402.8,109,117.6,171.3333333
3637.354,3638.663,2443.84,2392.56,109,119,172.3333333
3657.822,3659.369,2457.6,2406.48,110,118.2,171.3333333
3636.164,3637.83,2443.12,2390.8,110,118,171.6666667
3645.446,3646.755,2449.28,2396.72,110,119,173.3333333
3680.551,3682.098,2472.8,2417.84,110,118.6,173.3333333
3678.766,3680.194,2471.68,2418.32,110,118,172.3333333
