lh,rh,ls,rs,w,ll,rl
76.325,83.8,2471.68,2462,434,7417.2,7416.72
78.952,70.75,2470.32,2461.76,420,7413.12,7413.12
77.461,63.1,2459.12,2450.24,430,7379.28,7379.28
76.254,62,2457.92,2448.88,438,7375.68,7375.44
81.366,60.45,2445.44,2436.32,410,7338,7338
92.797,61.95,2444.08,2433.2,406,7333.92,7333.92
91.164,63.5,2471.68,2460.24,412,7416.96,7416.96
92.016,62.35,2472.08,2460.88,428,7418.16,7418.16
101.388,61.3,2464.64,2453.36,436,7396.32,7396.08
102.382,61.9,2447.84,2436.16,426,7345.68,7345.68
99.755,65.55,2437.44,2425.84,412,7314.72,7314.72
98.406,73.65,2445.2,2434.16,446,7337.76,7337.52
98.974,84,2469.12,2460.32,418,7409.76,7409.76
94.998,89.6,2455.84,2446.56,386,7369.92,7369.68
94.643,93.15,2467.04,2457.76,352,7403.52,7402.56
91.661,86.9,2452.72,2443.2,350,7360.32,7359.36
87.33,81.6,2444.32,2434.72,322,7335.36,7332
85.2,78.45,2451.36,2441.36,298,7356.24,7355.52
85.768,75.95,2469.84,2459.6,304,7411.92,7381.92
82.147,68.25,2407.84,2398.32,328,7225.68,7102.56
77.674,64.4,2456.8,2446.96,284,7372.32,7205.04
75.544,62.55,2457.12,2446.56,284,7355.76,7166.88
71.284,61.05,2434.32,2424.96,306,7185.6,6990.96
67.663,60.3,2452.24,2443.76,280,7301.04,6779.52
67.166,61.4,2467.12,2458.08,286,7332.24,6330.24
64.823,61.1,2406.4,2397.92,316,7069.2,5327.04
64.539,61.7,2443.76,2434.56,288,4953.84,4686.72
65.036,60.8,2450.72,2441.76,278,4244.64,3825.12
64.468,59.1,2437.36,2428.48,270,4017.12,3121.2
64.184,57.2,2438.16,2429.12,268,3411.84,2503.92
66.385,56.25,2471.28,2462.16,264,2438.4,2316.96
66.953,54.4,2468.88,2459.92,262,1441.44,2071.92
65.178,52.95,2447.52,2438.48,250,1164.48,1891.2
66.314,52,2453.52,2443.12,238,1048.56,1763.28
65.249,50.55,2438.48,2428.48,232,971.28,1668.24
62.835,49.85,2460.08,2449.28,214,914.64,1568.4
59.64,49.15,2470.56,2459.6,216,866.16,1553.76
57.723,48.65,2470.48,2459.52,212,828.24,1438.32
56.019,48.6,2467.36,2457.12,224,781.44,1299.6
54.315,48.95,2461.92,2451.84,246,711.6,1224.24
51.901,46.95,2436.88,2427.6,226,646.08,1060.8
50.126,45,2436.88,2427.6,224,636.72,927.36
49.7,44,2469.2,2459.6,216,624.96,867.6
49.416,43.25,2469.84,2460.08,240,583.92,816.96
49.629,43.35,2467.04,2457.52,280,555.6,738.24
49.913,42.95,2452.8,2443.36,312,533.04,690.96
48.848,42.45,2438.08,2429.6,324,537.6,668.4
48.777,43.45,2464.4,2456,342,550.8,643.68
48.564,42.85,2409.92,2401.52,352,558.48,631.44
51.688,43.15,2416.56,2408.4,336,557.04,677.52
61.77,44.25,2465.76,2456.88,320,612.96,708
83.638,44.2,2450.88,2441.76,338,684.48,707.76
107.92,45,2438.96,2429.68,380,737.04,753.6
