lh,rh,ls,rs,w,ll,rl,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,13y,14y
142,188.5,2506.32,2649.244,128,163.92,164.16,106.537,268.311,274.26,424.336,527.28,253.658,394.863,503.871,562.623,562.655,765.749,977.583,556.829,765.755,962.966
151,187.8,2505.72,2646.1864,128,163.68,163.92,106.525,268.411,274.333,421.432,536.189,259.529,400.823,512.656,565.619,568.515,765.804,977.668,562.662,765.745,962.941
158.5,189.7,2502.48,2622.49,126,162.72,162.96,106.518,268.363,274.249,424.37,550.88,259.514,403.751,524.389,562.668,565.573,765.792,977.651,559.716,765.656,962.935
171.2,195,2482.92,2498.6572,124,162.24,162.24,106.547,268.389,274.291,436.166,565.581,259.504,409.622,530.375,565.635,568.522,765.838,977.651,562.696,765.705,962.927
193.1,207.7,2465.04,2384.7616,122,162.48,162.72,106.521,268.373,274.289,433.098,568.577,259.482,409.7,536.219,568.498,568.523,765.827,977.657,565.592,765.651,960.01
245.3,233.2,2474.76,2444.3848,122,163.92,163.68,106.478,268.356,274.251,436.136,574.367,259.463,415.515,545.032,565.61,568.521,765.841,977.644,562.676,762.838,957.135
313.2,277.8,2500.92,2610.2596,124,163.2,162.72,106.487,268.331,274.219,433.187,574.55,259.491,412.669,550.808,565.635,568.558,765.816,977.645,562.682,762.871,957.037
382.2,363.3,2482.92,2498.6572,122,162,161.28,106.441,268.317,274.174,433.079,574.438,259.522,412.619,550.988,565.582,568.504,765.802,977.644,559.748,762.84,959.981
502.1,488.5,2455.92,2325.9028,118,163.2,163.92,106.438,268.272,271.435,436.094,577.281,256.578,415.464,553.843,562.634,565.577,765.808,977.662,559.683,762.678,957.107
641.5,596.9,2483.28,2445.9136,122,162.24,162.72,106.447,268.274,271.388,436.035,577.402,256.607,418.442,553.814,565.568,565.591,765.78,977.664,559.754,762.818,960.022
906.6,681.5,2465.52,2358.0076,120,164.4,164.64,106.442,268.294,271.403,433.219,577.42,256.617,418.478,553.875,562.662,562.685,765.786,977.661,559.738,762.799,957.084
1219.6,865.4,2523,2610.2596,122,163.44,163.44,106.454,268.311,274.203,436.172,580.268,259.471,415.507,556.756,565.622,568.502,765.803,977.645,562.677,762.867,959.998
1644.8,1259.8,2505.24,2527.7044,122,163.44,163.2,106.449,268.319,274.174,436.096,577.533,259.519,421.428,556.852,562.646,562.661,765.683,977.61,559.735,762.846,960.021
